input_name,status,height,solve_time,rotation
1,OPTIMAL,8.0,0.000526,
2,OPTIMAL,9.0,0.000605,
3,OPTIMAL,10.0,0.000729,
4,OPTIMAL,11.0,0.0010899999999999,
5,OPTIMAL,12.0,0.000803,
6,OPTIMAL,13.0,0.0018319999999999,
7,OPTIMAL,14.0,0.000822,
8,OPTIMAL,15.0,0.000878,
9,OPTIMAL,16.0,0.002134,
10,OPTIMAL,17.0,0.001193,
11,OPTIMAL,18.0,8.63264,
12,OPTIMAL,19.0,0.001176,
13,OPTIMAL,20.0,0.049554,
14,OPTIMAL,21.0,0.001203,
15,OPTIMAL,22.0,0.00236,
16,NO_SOLUTION,,,
17,OPTIMAL,24.0,67.868029,
18,OPTIMAL,25.0,11.404272,
19,OPTIMAL,26.0,0.352246,
20,OPTIMAL,27.0,9.896883,
21,NO_SOLUTION,,,
22,OPTIMAL,29.0,119.537284,
23,NO_SOLUTION,,,
24,OPTIMAL,31.0,0.001594,
25,NO_SOLUTION,,,
26,NO_SOLUTION,,,
27,OPTIMAL,34.0,0.002063,
28,OPTIMAL,35.0,1.843433,
29,OPTIMAL,36.0,0.0018419999999999,
30,NO_SOLUTION,,,
31,OPTIMAL,38.0,0.0022,
32,NO_SOLUTION,,,
33,OPTIMAL,40.0,0.001719,
34,NO_SOLUTION,,,
35,OPTIMAL,40.0,2.411699,
36,OPTIMAL,40.0,12.26351,
37,NO_SOLUTION,,,
38,NO_SOLUTION,,,
39,NO_SOLUTION,,,
40,NO_SOLUTION,,,
