input_name,status,height,solve_time,rotation
1,OPTIMAL,8.0,0.001,
2,OPTIMAL,9.0,0.001,
3,OPTIMAL,10.0,0.001,
4,OPTIMAL,11.0,0.002,
5,OPTIMAL,12.0,0.003,
6,OPTIMAL,13.0,0.004,
7,OPTIMAL,14.0,0.004,
8,OPTIMAL,15.0,0.005,
9,OPTIMAL,16.0,0.005,
10,OPTIMAL,17.0,0.007,
11,OPTIMAL,18.0,20.089,
12,OPTIMAL,19.0,0.011,
13,OPTIMAL,20.0,0.392,
14,OPTIMAL,21.0,1.073,
15,OPTIMAL,22.0,2.231,
16,OPTIMAL,23.0,0.023,
17,OPTIMAL,24.0,0.022,
18,NO_SOLUTION,,,
19,NO_SOLUTION,,,
20,NO_SOLUTION,,,
21,NO_SOLUTION,,,
22,NO_SOLUTION,,,
23,OPTIMAL,30.0,0.079,
24,OPTIMAL,31.0,0.031,
25,NO_SOLUTION,,,
26,NO_SOLUTION,,,
27,OPTIMAL,34.0,0.352,
28,OPTIMAL,35.0,0.051,
29,OPTIMAL,36.0,0.0549999999999999,
30,NO_SOLUTION,,,
31,OPTIMAL,38.0,0.031,
32,NO_SOLUTION,,,
33,OPTIMAL,40.0,0.037,
34,NO_SOLUTION,,,
35,OPTIMAL,40.0,9.906,
36,OPTIMAL,40.0,0.185,
37,NO_SOLUTION,,,
38,OPTIMAL,60.0,235.119,
39,NO_SOLUTION,,,
40,NO_SOLUTION,,,
